,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,-0.5154332423844332,LONG,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1008.98,1008.98,1066.2519098317146,1066.2519098317146,1066.2519098317146,1.0,1008.98,1008.98,1.0,1008.98,1008.98
1,2006-06-20,-0.4759046913706362,LONG,2006-06-26,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189.0,558.13,1765.66,1213.95,-2119.9,1416.54,2425.52,1027.5625714208868,1027.5625714208868,2093.8144812526016,1.0,1416.54,2425.52,1.0,1416.54,2425.52
2,2006-06-27,-0.661875823928491,LONG,2006-07-03,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1147.25,3572.77,1127.3037375723507,1127.3037375723507,3221.1182188249522,1.0,1147.25,3572.77,1.0,1147.25,3572.77
3,2006-07-03,-0.7233672479874398,LONG,2006-07-10,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,1137.87,4710.639999999999,1062.8019876780613,1062.8019876780613,4283.920206503013,1.0,1137.87,4710.639999999999,1.0,1137.87,4710.639999999999
4,2006-07-11,-0.6003884160621467,LONG,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,1101.42,5812.0599999999995,1126.8458178432445,1126.8458178432445,5410.766024346258,1.0,1101.42,5812.0599999999995,1.0,1101.42,5812.0599999999995
5,2006-07-18,-0.4985261539024881,LONG,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,1010.37,6822.429999999999,1050.0488620521396,1050.0488620521396,6460.814886398397,1.0,1010.37,6822.429999999999,1.0,1010.37,6822.429999999999
6,2006-07-25,-0.29867329410474763,LONG,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,733.38,7555.8099999999995,880.8329331250397,880.8329331250397,7341.647819523437,0.5,366.69,7189.119999999999,0.5,366.69,7189.119999999999
7,2006-08-01,-0.22516785239906106,LONG,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,1097.46,8653.27,857.6001911698759,857.6001911698759,8199.248010693313,0.5,548.73,7737.8499999999985,0.5,548.73,7737.8499999999985
8,2006-08-08,-0.5122859529444521,LONG,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,1134.19,9787.460000000001,1063.291826579877,1063.291826579877,9262.539837273189,1.0,1134.19,8872.039999999999,1.0,1134.19,8872.039999999999
9,2006-08-15,-0.456823724859496,LONG,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,1042.76,10830.220000000001,1008.3473880480137,1008.3473880480137,10270.887225321203,1.0,1042.76,9914.8,1.0,1042.76,9914.8
