,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Pos,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Pos,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Pos,Asset_Mgr_Diff,Asset_Mgr_Signal1
0,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-06-13,13.06.2006,112741,CME,0,112,22546,3914,6807,9759,357,0,0,7030,4600,0,0,137,0,21060,21303,1486,1243,,,,,,,,,,,,,,,,,,100,17.4,30.2,43.3,1.6,0.0,0.0,31.2,20.4,0.0,0.0,0.6,0.0,93.4,94.5,6.6,5.5,22,8.0,8.0,8.0,,0.0,0.0,,,0.0,0.0,,0.0,15.0,15.0,74.2,71.6,87.0,90.6,40.7,43.9,47.3,49.9,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,2430,0.20894239037,SHORT,-2893,-0.269844230949,LONG,357,1.0,LONG
1,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-07-11,11.07.2006,112741,CME,0,112,14081,6375,5962,863,877,240,0,4329,5032,0,0,675,0,12444,12772,1637,1309,-8465.0,2461.0,-845.0,-8896.0,520.0,240.0,0.0,-2701.0,432.0,0.0,0.0,538.0,0.0,-8616.0,-8531.0,151.0,66.0,100,45.3,42.3,6.1,6.2,1.7,0.0,30.7,35.7,0.0,0.0,4.8,0.0,88.4,90.7,11.6,9.3,20,6.0,4.0,8.0,,0.0,0.0,,,0.0,0.0,,0.0,10.0,11.0,69.2,79.4,85.5,88.0,63.1,77.0,79.4,82.9,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,-703,-0.0750988142292,LONG,413,0.0334765340034,SHORT,637,0.570277529096,LONG
2,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-07-18,18.07.2006,112741,CME,0,112,14948,4178,6920,881,1130,0,0,6929,4470,0,275,994,0,13393,13265,1555,1683,867.0,-2197.0,958.0,18.0,253.0,-240.0,0.0,2600.0,-562.0,0.0,275.0,319.0,0.0,949.0,493.0,-82.0,374.0,100,28.0,46.3,5.9,7.6,0.0,0.0,46.4,29.9,0.0,1.8,6.6,0.0,89.6,88.7,10.4,11.3,21,5.0,5.0,8.0,,0.0,0.0,,4.0,0.0,0.0,,0.0,10.0,12.0,75.1,68.4,87.8,84.2,74.6,68.0,81.9,79.6,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,2459,0.215720677252,SHORT,-2742,-0.247071544422,LONG,1130,1.0,LONG
3,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-07-25,25.07.2006,112741,CME,0,112,16341,3861,7768,783,1155,0,0,9103,5875,0,0,727,0,14902,15153,1439,1188,1393.0,-317.0,848.0,-98.0,25.0,0.0,0.0,2174.0,1405.0,0.0,-275.0,-267.0,0.0,1509.0,1888.0,-116.0,-495.0,100,23.6,47.5,4.8,7.1,0.0,0.0,55.7,36.0,0.0,0.0,4.4,0.0,91.2,92.7,8.8,7.3,21,4.0,7.0,8.0,,0.0,0.0,,4.0,0.0,0.0,,0.0,9.0,13.0,80.3,73.7,90.4,86.5,80.3,69.5,86.4,81.7,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,3228,0.215516090266,SHORT,-3907,-0.335970418781,LONG,1155,1.0,LONG
4,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-01,01.08.2006,112741,CME,0,112,18160,3540,10019,864,1177,0,0,10955,5620,0,0,463,0,16536,16966,1624,1194,1819.0,-321.0,2251.0,81.0,22.0,0.0,0.0,1852.0,-255.0,0.0,0.0,-264.0,0.0,1634.0,1813.0,185.0,6.0,100,19.5,55.2,4.8,6.5,0.0,0.0,60.3,30.9,0.0,0.0,2.5,0.0,91.1,93.4,8.9,6.6,24,4.0,8.0,8.0,,0.0,0.0,4.0,5.0,0.0,0.0,,0.0,10.0,15.0,79.6,66.6,89.5,85.2,79.6,63.5,85.6,80.4,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,5335,0.321870286576,SHORT,-6479,-0.477837598643,LONG,1177,1.0,LONG
5,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-08,08.08.2006,112741,CME,0,112,17327,3971,10170,1027,1228,176,0,9302,4876,0,173,181,0,15701,16430,1626,897,-833.0,431.0,151.0,163.0,51.0,176.0,0.0,-1653.0,-744.0,0.0,173.0,-282.0,0.0,-835.0,-536.0,2.0,-297.0,100,22.9,58.7,5.9,7.1,1.0,0.0,53.7,28.1,0.0,1.0,1.0,0.0,90.6,94.8,9.4,5.2,25,5.0,8.0,8.0,,0.0,0.0,4.0,4.0,0.0,0.0,,0.0,12.0,15.0,75.5,69.6,87.1,88.1,75.5,66.4,82.1,82.2,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,4426,0.312173790379,SHORT,-6199,-0.438370695142,LONG,1052,0.749287749288,LONG
6,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-15,15.08.2006,112741,CME,0,112,19536,2810,14351,160,1222,176,0,13333,3284,0,129,629,0,17654,18600,1882,936,2209.0,-1161.0,4181.0,-867.0,-6.0,0.0,0.0,4031.0,-1592.0,0.0,-44.0,448.0,0.0,1953.0,2170.0,256.0,39.0,100,14.4,73.5,0.8,6.3,0.9,0.0,68.2,16.8,0.0,0.7,3.2,0.0,90.4,95.2,9.6,4.8,22,4.0,8.0,8.0,,0.0,0.0,5.0,4.0,0.0,0.0,,0.0,11.0,13.0,80.6,74.3,88.1,90.5,80.6,73.5,88.1,89.7,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,10049,0.604742131552,SHORT,-11541,-0.672513256803,LONG,1046,0.748211731044,LONG
7,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-22,22.08.2006,112741,CME,0,112,19886,3032,14219,729,1229,176,0,11787,3563,0,1032,289,0,17809,18976,2077,910,350.0,222.0,-132.0,569.0,7.0,0.0,0.0,-1546.0,279.0,0.0,903.0,-340.0,0.0,155.0,376.0,195.0,-26.0,100,15.2,71.5,3.7,6.2,0.9,0.0,59.3,17.9,0.0,5.2,1.5,0.0,89.6,95.4,10.4,4.6,23,5.0,8.0,8.0,,0.0,0.0,4.0,4.0,0.0,0.0,,0.0,12.0,13.0,66.9,76.3,83.7,92.0,66.9,73.3,82.0,88.3,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,8224,0.535765472313,SHORT,-11187,-0.648484145847,LONG,1053,0.749466192171,LONG
8,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-08-29,29.08.2006,112741,CME,0,112,18099,2661,13752,710,1218,171,0,10687,2419,0,786,211,0,16062,17263,2037,836,-1787.0,-371.0,-467.0,-19.0,-11.0,-5.0,0.0,-1100.0,-1144.0,0.0,-246.0,-78.0,0.0,-1747.0,-1713.0,-40.0,-74.0,100,14.7,76.0,3.9,6.7,0.9,0.0,59.0,13.4,0.0,4.3,1.2,0.0,88.7,95.4,11.3,4.6,22,5.0,8.0,8.0,,0.0,0.0,4.0,4.0,0.0,0.0,,0.0,12.0,12.0,65.3,74.6,82.3,92.6,65.3,74.0,80.6,88.7,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,8268,0.630856096444,SHORT,-11091,-0.67574483641,LONG,1047,0.753779697624,LONG
9,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-09-05,05.09.2006,112741,CME,0,112,18852,3179,14151,474,1431,0,0,11218,3164,0,434,292,0,16736,18081,2116,771,753.0,518.0,399.0,-236.0,213.0,-171.0,0.0,531.0,745.0,0.0,-352.0,81.0,0.0,674.0,818.0,79.0,-65.0,100,16.9,75.1,2.5,7.6,0.0,0.0,59.5,16.8,0.0,2.3,1.5,0.0,88.8,95.9,11.2,4.1,23,6.0,9.0,8.0,,0.0,0.0,4.0,4.0,0.0,0.0,,0.0,13.0,13.0,65.1,75.2,79.6,92.5,65.1,75.2,79.2,90.4,"(CONTRACTS OF NZD 100,000)",F15,FutOnly,8054,0.560005562509,SHORT,-10972,-0.633121754183,LONG,1431,1.0,LONG
