,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,-0.5754227117717654,LONG,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,-1107.83,-1107.83,-359.1837558746338,-359.1837558746338,-359.1837558746338,0.0,-0.0,0.0,0.0,-0.0,0.0
1,2006-06-20,-0.8477338312680359,LONG,2006-06-26,1471.23,1416.54,1144.65,-503.17,1485.99,-253.56,1030.48,1189.0,558.13,1765.66,1213.95,-2119.9,1765.66,657.8300000000002,1766.4104471206665,1766.4104471206665,1407.2266912460327,1.0,1765.66,1765.66,1.0,1765.66,1765.66
2,2006-06-27,-0.5800372521091268,LONG,2006-07-03,689.62,1147.25,1128.98,1283.8,1347.16,1175.94,997.51,1133.34,1882.88,1970.59,1201.06,1261.63,1970.59,2628.42,713.3393605947495,713.3393605947495,2120.566051840782,0.5,985.295,2750.955,0.5,985.295,2750.955
3,2006-07-03,-0.66442755937305,LONG,2006-07-10,383.32,1137.87,-14171.45,1314.62,1227.03,1085.12,-1323.12,1157.14,1602.93,-5277.89,-4128.4,1109.7,-5277.89,-2649.4700000000003,-1502.28646671772,-1502.28646671772,618.2795851230621,0.0,-0.0,2750.955,0.0,-0.0,2750.955
4,2006-07-11,-0.6394284585500758,LONG,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,1788.75,-860.7200000000003,-178.12020814418793,-178.12020814418793,440.1593769788742,0.0,0.0,2750.955,0.0,0.0,2750.955
5,2006-07-18,-0.6227653565173485,LONG,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,1638.94,778.2199999999998,1671.6179441213608,1671.6179441213608,2111.777321100235,1.0,1638.94,4389.895,1.0,1638.94,4389.895
6,2006-07-25,-0.5986028271313821,LONG,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,1975.23,2753.45,2918.0574510097504,2918.0574510097504,5029.834772109985,1.0,1975.23,6365.125,1.0,1975.23,6365.125
7,2006-08-01,-0.6824975699010807,LONG,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,603.24,3356.6899999999996,-418.6178344488144,-418.6178344488144,4611.216937661171,0.0,0.0,6365.125,0.0,0.0,6365.125
8,2006-08-08,-0.7073904524899484,LONG,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,1929.77,5286.459999999999,2907.5892580747604,2907.5892580747604,7518.806195735931,1.0,1929.77,8294.895,1.0,1929.77,8294.895
9,2006-08-15,-0.74949947105675,LONG,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,1647.45,6933.909999999999,1571.206859588623,1571.206859588623,9090.013055324554,1.0,1647.45,9942.345000000001,1.0,1647.45,9942.345000000001
