,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,0.20894239036973344,SHORT,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,1072.04,1072.04,1317.8087292552573,1317.8087292552573,1317.8087292552573,1.0,1072.04,1072.04,1.0,1072.04,1072.04
1,2006-07-11,-0.07509881422924902,LONG,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,955.91,2027.9499999999998,923.7741917805661,923.7741917805661,2241.5829210358233,0.5,477.955,1549.995,0.5,477.955,1549.995
2,2006-07-18,0.21572067725239047,SHORT,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,744.29,2772.24,1156.7304272375145,1156.7304272375145,3398.313348273338,1.0,744.29,2294.285,1.0,744.29,2294.285
3,2006-07-25,0.2155160902657231,SHORT,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,829.5,3601.74,1161.8369645374896,1161.8369645374896,4560.150312810827,1.0,829.5,3123.785,1.0,829.5,3123.785
4,2006-08-01,0.3218702865761689,SHORT,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,848.84,4450.58,-2749.685424117844,-2749.685424117844,1810.464888692983,0.0,0.0,3123.785,0.0,0.0,3123.785
5,2006-08-08,0.3121737903794612,SHORT,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,-3512.56,938.02,-2349.964996530079,-2349.964996530079,-539.500107837096,0.0,-0.0,3123.785,0.0,-0.0,3123.785
6,2006-08-15,0.6047421315520249,SHORT,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,751.68,1689.6999999999998,-3722.5318161699715,-3722.5318161699715,-4262.031924007068,0.0,0.0,3123.785,0.0,0.0,3123.785
7,2006-08-22,0.5357654723127037,SHORT,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,-5215.81,-3526.1100000000006,-5680.5780261758955,-5680.5780261758955,-9942.609950182963,0.0,-0.0,3123.785,0.0,-0.0,3123.785
8,2006-08-29,0.6308560964443766,SHORT,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,812.23,-2713.8800000000006,-2859.630769073365,-2859.630769073365,-12802.240719256328,0.0,0.0,3123.785,0.0,0.0,3123.785
9,2006-09-05,0.5600055625086915,SHORT,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,-15822.58,-18536.46,-5090.750569297883,-5090.750569297883,-17892.99128855421,0.0,-0.0,3123.785,0.0,-0.0,3123.785
