,Data_Date,Positioning_Diff,Signal,Trade_Date,USDCAD_CALL,USDCAD_PUT,USDJPY_CALL,USDJPY_PUT,AUDUSD_CALL,AUDUSD_PUT,NZDUSD_CALL,NZDUSD_PUT,GBPUSD_CALL,GBPUSD_PUT,USDCHF_CALL,USDCHF_PUT,Signal_PL,Signal_Total_PL,Fitted_PL,Fitted_PL_Forward,Signal_Total_PL_Fitted,Fitted_PL_Rule_Weight,Fitted_PL_Rule_Adj,Signal_Total_PL_Fitted_Rule,Fitted_PL_Forward_Rule_Weight,Fitted_PL_Forward_Rule_Adj,Fitted_Total_PL_Forward_Fitted_Rule
0,2006-06-13,1.0,LONG,2006-06-19,1060.54,1008.98,976.85,1083.04,1381.83,1215.22,1072.04,-750.11,1642.78,-1107.83,1143.21,1169.42,-750.11,-750.11,682.7434234619141,682.7434234619141,682.7434234619141,0.5,-375.055,-375.055,0.5,-375.055,-375.055
1,2006-07-11,0.5702775290957922,LONG,2006-07-17,1173.88,1101.42,1054.84,1111.18,1162.78,1019.65,835.02,955.91,-14312.87,1788.75,1060.47,1088.27,955.91,205.79999999999995,955.9100036621094,955.9100036621094,1638.6534271240234,0.5,477.955,102.89999999999998,0.5,477.955,102.89999999999998
2,2006-07-18,1.0,LONG,2006-07-24,1083.62,1010.37,945.82,-5818.36,1013.85,-5911.61,744.29,860.41,863.18,1638.94,889.04,-478.91,860.41,1066.21,682.7434234619141,682.7434234619141,2321.3968505859375,0.5,430.205,533.105,0.5,430.205,533.105
3,2006-07-25,1.0,LONG,2006-07-31,1131.02,733.38,1265.86,1423.17,1154.98,1056.58,829.5,929.66,-19207.96,1975.23,1096.66,1151.6,929.66,1995.87,682.7434234619141,682.7434234619141,3004.1402740478516,0.5,464.83,997.935,0.5,464.83,997.935
4,2006-08-01,1.0,LONG,2006-08-07,1101.69,1097.46,-3110.08,1236.99,1204.23,1070.59,848.84,949.54,2010.62,603.24,-2886.48,1163.04,949.54,2945.41,682.7434234619141,682.7434234619141,3686.8836975097656,0.5,474.77,1472.705,0.5,474.77,1472.705
5,2006-08-08,0.7492877492877492,LONG,2006-08-14,1136.79,1134.19,931.71,1034.85,1214.95,1112.08,-3512.56,927.81,1931.6,1929.77,1024.78,-2522.13,927.81,3873.22,927.7496643066406,927.7496643066406,4614.633361816406,0.5,463.905,1936.61,0.5,463.905,1936.61
6,2006-08-15,0.7482117310443491,LONG,2006-08-21,1045.2,1042.76,-3206.71,1034.52,1090.31,965.55,751.68,845.2,1732.84,1647.45,-975.2,990.71,845.2,4718.42,845.2070465087891,845.2070465087891,5459.840408325195,0.5,422.6,2359.21,0.5,422.6,2359.21
7,2006-08-22,0.7494661921708186,LONG,2006-08-28,911.5,904.01,984.49,1094.53,1134.21,-4198.33,-5215.81,932.07,1872.4,1910.66,1179.07,1221.06,932.07,5650.49,932.1241455078125,932.1241455078125,6391.964553833008,0.5,466.035,2825.245,0.5,466.035,2825.245
8,2006-08-29,0.7537796976241902,LONG,2006-09-04,-2539.71,997.82,-5173.18,998.54,-14484.43,1043.09,812.23,-3106.27,1698.87,-23453.46,-3485.23,1066.31,-3106.27,2544.22,-3106.2703552246094,-3106.2703552246094,3285.6941986083984,0.0,-0.0,2825.245,0.0,-0.0,2825.245
9,2006-09-05,1.0,LONG,2006-09-11,964.92,946.6,943.98,1077.68,1216.68,1088.11,-15822.58,1059.17,1504.18,1540.61,983.22,1001.15,1059.17,3603.39,682.7434234619141,682.7434234619141,3968.4376220703125,0.5,529.585,3354.83,0.5,529.585,3354.83
