,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_USDJPY,PUT_USDJPY,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
0,0,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-06-13,13.06.2006,97741,CME,0,97,243513,82773,92521,34009,28335,4178,718,25809,49758,21126,5068,460,0,197838,202770,45675,40743,,,,,,,,,,,,,,,,,,100,34.0,38.0,14.0,11.6,1.7,0.3,10.6,20.4,8.7,2.1,0.2,0.0,81.2,83.3,18.8,16.7,90,16.0,13.0,14.0,6.0,,,22.0,21.0,7.0,9.0,,0.0,60.0,52.0,33.7,34.5,54.4,54.0,27.8,30.4,39.0,41.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.316924054151,LONG,-0.0556094332949,LONG,0.742995109648,LONG,2006-06-19,976.85,1083.04,0.0,1083.04,1083.04,-0.000438570982126,0.742669253553,,0.0,0.0,0.0,,0.0,0.0
1,1,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-06-20,20.06.2006,97741,CME,0,97,161290,52101,47483,10558,24173,4252,673,16496,49238,19948,4596,5,0,128545,132157,32745,29133,-82223.0,-30672.0,-45038.0,-23451.0,-4162.0,74.0,-45.0,-9313.0,-520.0,-1178.0,-472.0,-455.0,0.0,-69293.0,-70613.0,-12930.0,-11610.0,100,32.3,29.4,6.5,15.0,2.6,0.4,10.2,30.5,12.4,2.8,0.0,0.0,79.7,81.9,20.3,18.1,81,12.0,8.0,8.0,6.0,,,19.0,24.0,,8.0,,0.0,50.0,43.0,40.9,42.9,55.8,58.0,32.6,30.3,40.8,41.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.498098396568,LONG,0.0463729113111,SHORT,0.700826737027,LONG,2006-06-26,1144.65,-503.17,-0.042168372621,-503.17,579.87,-0.00428618381361,0.697822864811,0.742091664751,-503.17,-503.17,0.0415915898812,,0.0,0.0
2,2,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-06-27,27.06.2006,97741,CME,0,97,174066,61978,44398,11600,25652,4939,663,16151,58957,19948,5667,1552,0,141659,142057,32407,32009,12776.0,9877.0,-3085.0,1042.0,1479.0,687.0,-10.0,-345.0,9719.0,0.0,1071.0,1547.0,0.0,13114.0,9900.0,-338.0,2876.0,100,35.6,25.5,6.7,14.7,2.8,0.4,9.3,33.9,11.5,3.3,0.9,0.0,81.4,81.6,18.6,18.4,95,18.0,9.0,6.0,6.0,,,21.0,24.0,,9.0,4.0,0.0,59.0,46.0,38.8,38.3,54.5,56.2,31.6,26.7,41.3,41.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.569925973265,LONG,0.165262841242,SHORT,0.677094570298,LONG,2006-07-03,1128.98,1283.8,-0.023732166729,1283.8,1863.67,-0.00258631035225,0.675343393601,0.700317070158,1283.8,780.63,0.0427080591294,,0.0,0.0
3,3,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-03,03.07.2006,97741,CME,0,97,168688,55063,52467,11814,26277,4272,678,16417,49381,19948,5880,1606,0,136077,140166,32611,28522,-5378.0,-6915.0,8069.0,214.0,625.0,-667.0,15.0,266.0,-9576.0,0.0,213.0,54.0,0.0,-5582.0,-1891.0,204.0,-3487.0,100,32.6,31.1,7.0,15.6,2.5,0.4,9.7,29.3,11.8,3.5,1.0,0.0,80.7,83.1,19.3,16.9,95,16.0,11.0,7.0,6.0,,,20.0,26.0,,9.0,4.0,0.0,56.0,50.0,40.8,41.8,55.1,57.4,32.6,31.7,41.0,40.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.500987871972,LONG,0.0241420998791,SHORT,0.720318177354,LONG,2006-07-10,-14171.45,1314.62,0.043223607056,1314.62,3178.29,0.00358721274731,0.722902111902,0.67801072113,1314.62,2095.25,0.0472817919022,0.191161431673,1314.62,1314.62
4,4,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-11,11.07.2006,97741,CME,0,97,173470,52568,61742,13801,28246,1871,1724,18071,48950,19948,6407,922,0,140765,148958,32705,24512,4782.0,-2495.0,9275.0,1987.0,1969.0,-2401.0,1046.0,1654.0,-431.0,0.0,527.0,-684.0,0.0,4688.0,8792.0,94.0,-4010.0,100,30.3,35.6,8.0,16.3,1.1,1.0,10.4,28.2,11.5,3.7,0.5,0.0,81.1,85.9,18.9,14.1,99,15.0,11.0,7.0,7.0,,,21.0,30.0,,10.0,,0.0,59.0,52.0,40.5,39.8,54.4,58.7,32.4,28.7,40.5,43.4,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.460736187165,LONG,-0.0802554457178,LONG,0.875751236843,LONG,2006-07-17,1054.84,1111.18,0.155433059489,1111.18,4289.47,0.0139332607044,0.887953307138,0.72367087995,1111.18,3206.43,0.0855001358866,0.329429617666,1111.18,2425.8
5,5,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-18,18.07.2006,97741,CME,0,97,203567,75671,30843,19391,28036,2432,1719,22044,93171,20062,6875,3527,0,173798,171145,29769,32422,30097.0,23103.0,-30899.0,5590.0,-210.0,561.0,-5.0,3973.0,44221.0,114.0,468.0,2605.0,0.0,33033.0,22187.0,-2936.0,7910.0,100,37.2,15.2,9.5,13.8,1.2,0.8,10.8,45.8,9.9,3.4,1.7,0.0,85.4,84.1,14.6,15.9,108,18.0,8.0,6.0,7.0,,,20.0,36.0,,10.0,6.0,0.0,61.0,59.0,34.6,34.4,50.8,53.3,28.9,25.9,41.0,39.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.617341491993,LONG,0.420864862835,SHORT,0.84035709597,LONG,2006-07-24,945.82,-5818.36,-0.035394140873,-5818.36,-1528.89,-0.00366157933496,0.837280061793,0.874981813342,-5818.36,-2611.93,0.0777559386957,0.332117578532,-5818.36,-3392.56
6,6,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-07-25,25.07.2006,97741,CME,0,97,208508,85051,30484,19948,26616,2620,1725,19603,98230,19948,6370,3905,0,179261,176860,29247,31648,4941.0,9380.0,-359.0,557.0,-1420.0,188.0,6.0,-2441.0,5059.0,-114.0,-505.0,378.0,0.0,5463.0,5715.0,-522.0,-774.0,100,40.8,14.6,9.6,12.8,1.3,0.8,9.4,47.1,9.6,3.1,1.9,0.0,86.0,84.8,14.0,15.2,109,19.0,8.0,5.0,7.0,,,18.0,39.0,,10.0,5.0,0.0,59.0,60.0,34.3,32.0,52.3,50.2,30.5,22.9,42.0,36.3,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.667274872065,LONG,0.472298437703,SHORT,0.820768915036,LONG,2006-07-31,1265.86,1423.17,-0.019588180934,1423.17,-105.72,-0.00220422243685,0.818959757778,0.839929149206,1423.17,-1188.76,0.0703871143522,0.334677718241,1423.17,-1969.39
7,7,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-01,01.08.2006,97741,CME,0,97,195626,63374,53767,20407,27134,2633,1742,25925,65444,19960,6791,2937,0,165333,166890,30293,28736,-12882.0,-21677.0,23283.0,459.0,518.0,13.0,17.0,6322.0,-32786.0,12.0,421.0,-968.0,0.0,-13928.0,-9970.0,1046.0,-2912.0,100,32.4,27.5,10.4,13.9,1.3,0.9,13.3,33.5,10.2,3.5,1.5,0.0,84.5,85.3,15.5,14.7,104,15.0,11.0,8.0,7.0,,,21.0,32.0,,10.0,5.0,0.0,61.0,57.0,35.9,34.7,53.0,52.7,30.5,23.4,41.0,36.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.432520876884,LONG,0.0820122758044,SHORT,0.823092686532,LONG,2006-08-07,-3110.08,1236.99,0.002323771496,1236.99,1131.27,-0.000183874723184,0.822941340592,0.820812363547,1236.99,48.23,0.0640166526218,0.353943202729,1236.99,-732.4
8,8,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-08,08.08.2006,97741,CME,0,97,198570,62760,55235,20065,29198,2379,1771,26517,71414,19948,6890,1494,0,167149,172306,31421,26264,2944.0,-614.0,1468.0,-342.0,2064.0,-254.0,29.0,592.0,5970.0,-12.0,99.0,-1443.0,0.0,1816.0,5416.0,1128.0,-2472.0,100,31.6,27.8,10.1,14.7,1.2,0.9,13.4,36.0,10.0,3.5,0.8,0.0,84.2,86.8,15.8,13.2,105,16.0,13.0,7.0,7.0,,,20.0,33.0,,10.0,,0.0,60.0,57.0,35.8,34.2,52.6,51.6,30.4,22.5,41.2,35.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.458455443118,LONG,0.0637738887241,SHORT,0.84932070811,LONG,2006-08-14,931.71,1034.85,0.026228021578,1034.85,2166.12,0.00202016880759,0.851036479312,0.823651562388,1034.85,1083.08,0.0603167892823,0.15868229618,1034.85,302.45
9,9,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2006-08-15,15.08.2006,97741,CME,0,97,216492,69296,47688,22014,30596,2384,1710,31881,89206,19948,7748,1308,0,183193,184258,33299,32234,17922.0,6536.0,-7547.0,1949.0,1398.0,5.0,-61.0,5364.0,17792.0,0.0,858.0,-186.0,0.0,16044.0,11952.0,1878.0,5970.0,100,32.0,22.0,10.2,14.1,1.1,0.8,14.7,41.2,9.2,3.6,0.6,0.0,84.6,85.1,15.4,14.9,113,19.0,12.0,7.0,7.0,,,21.0,37.0,,11.0,,0.0,64.0,61.0,32.8,31.8,50.1,51.6,27.9,23.4,39.4,38.4,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly,-0.473419937731,LONG,0.184709020037,SHORT,0.855427531837,LONG,2006-08-21,-3206.71,1034.52,0.006106823727,1034.52,3200.64,0.000164934035413,0.855568620952,0.849445666367,1034.52,2117.6,0.0560714872305,0.142312001532,1034.52,1336.97
